title,group,product,random_key,image_url,brand,persian_name,رنگ,برند,نوع کلی,جنس,مدل,سایز,نوع آستین,طرح,ویژگی ها,استایل,نوع یقه / بسته شدن,فصل,اجناس,مدل لباس,گروه,کد محصول,کد,Raqm,ناشن,درجه کیفی,ناهمگونی,پارچه,کشور تولید کننده,اسایل,group_fa,color_fa,title_len,word_count,title_category,char_per_word,title_group_combo,len_ratio,pca1,pca2
پیژامه و لباس خواب مردانه آبی سرمه ای یو اس پولو |,مردانه,پیژامه و لباس خواب,5473e4be-03da-4a30-b73f-e4f7f7e3b3d0,https://image.torob.com/base/images/uC/Nz/uCNzUF3Sgflq89Yf.jpg,,,آبی سرمه ای,یو اس پولو,پیژامه و لباس خواب,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯼﺍ ﻪﻣﺮﺳ ﯽﺑﺁ,50,12,Medium,3.8461538461538463,مردانه_Medium,10.317460317460316,1.0530400933798094,0.7277131365592594
پیژامه و لباس خواب مردانه خاکستری پیرکاردین | TYCB702BF27C955400 اورجینال,مردانه,پیژامه و لباس خواب,e147bab3-13f6-4888-a8dd-df17ee355cfe,https://image.torob.com/base/images/Z2/0I/Z20IKyuLTVqqPj3g.jpg,,,خاکستری,پیر کاردین,پیژامه و لباس خواب,,,نامشخص,,,اورجینال,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯼﺮﺘﺴﮐﺎﺧ,73,10,Long,6.636363636363637,مردانه_Long,9.559523809523808,3.2983924103259494,0.6357620719243501
ست تیشرت آستین بلند و شلوار مردانه تن کوک مدل 1219,مردانه,ست تیشرت و شلوار,8c8d3c3d-0a40-442a-9928-506e0ccb3dd1,https://image.torob.com/base/images/lj/5p/lj5p1XYElIOjhKlJ.jpg,,,نامشخص,تن کوک,ست تیشرت و شلوار,,,نامشخص,آستین بلند,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,50,11,Medium,4.166666666666667,مردانه_Medium,9.67741935483871,0.3351614917194878,-0.40866117689122283
ست مردانه تیشرت و شلوارک ژاکارد یشمی بلکس (نیکوتن پوش) کد ۶۱۱۸,مردانه,ست تیشرت و شلوارک,6e8130e2-6df4-4b9c-9caa-4e8f66affe8b,https://image.torob.com/base/images/qU/ur/qUurxHk2C_5e9UIo.jpg,,,یشمی,بلکس (نیکوتن پوش),ست تیشرت و شلوارک,ژاکارد,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯽﻤﺸﯾ,62,12,Long,4.769230769230769,مردانه_Long,10.746666666666666,1.0863022860012763,-0.38500693859536966
ست پیژامه و لباس خواب مردانه برند کیگیلی اصل 263856,مردانه,ست پیژامه و لباس خواب,ee388c53-2654-45ea-bc92-1a337c274332,https://image.torob.com/base/images/i5/6_/i56_cUM3xodpt6tq.jpg,,,نامشخص,کیگیلی,ست پیژامه و لباس خواب,,,نامشخص,,,اصل,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,51,10,Medium,4.636363636363637,مردانه_Medium,9.048387096774192,1.3493551097706795,0.37330067818003415
ست مراکشی پیراهن و شلوارک مردانه,مردانه,ست پیراهن و شلوارک,1ba0d7e1-54c2-4c5e-b7a6-9deb63476846,https://image.torob.com/base/images/mT/5w/mT5woAnW8pPyJVBS.jpg,,,نامشخص,نامشخص,ست مراکشی پیراهن و شلوارک,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,32,6,Medium,4.571428571428571,مردانه_Medium,5.743589743589744,-0.2802657196674087,0.05795899651444069
ست بلوز شلوار حوله ای مردانه برند لیورجی کد ۳۹۲۱۲۲۵,مردانه,ست بلوز شلوار,41bcd752-4edb-45c1-8fcf-c45071cf5a9f,https://image.torob.com/base/images/Y0/7U/Y07U2ak5FlsX_PeN.jpg,,,نامشخص,لیورجی,ست بلوز شلوار,حوله ای,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,51,10,Medium,4.636363636363637,مردانه_Medium,9.048387096774192,0.4827167119522742,-0.7186020535852538
ست تیشرت و شلوار برند هیراد,مردانه,ست تیشرت و شلوار,a8342e03-5333-4226-b8de-67bb57c85324,https://image.torob.com/base/images/pX/BH/pXBHohF5MUv-EEau.jpg,,,نامشخص,هیراد,ست تیشرت و شلوار,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,27,6,Short,3.857142857142857,مردانه_Short,5.5588235294117645,-1.3690112258155318,-0.6234315635262523
ست تیشرت و شلواربیسکویتی کشی و جردن و پوما.دونایک.بالنسیاگا,نامشخص,ست تیشرت و شلوار,0d88dbe6-c24c-4c48-9862-fd6575bf519d,https://image.torob.com/base/images/20/de/20derevj5-tBCa6E.jpg,,,نامشخص,پوما,ست تیشرت و شلوار,بیسکویتی کشی,,نامشخص,,,,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,59,9,Medium,5.9,نامشخص_Medium,8.550724637681158,-0.15737412685870494,1.2534961708049706
ست پیژامه خاکستری مردانه شورت تام اورجینال Suwen,مردانه,ست پیژامه,5e296361-5b4d-4a01-870b-a32ef796d276,https://image.torob.com/base/images/OK/9D/OK9D_8TQXqV2oy-A.jpg,,,خاکستری,Suwen,ست پیژامه,,,نامشخص,,,اورجینال,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯼﺮﺘﺴﮐﺎﺧ,48,8,Medium,5.333333333333333,مردانه_Medium,7.578947368421053,0.6012138010645497,-0.018848504909958257
ست تاب وشلوارک مردانه نخی,مردانه,ست تاب و شلوارک,ce24c883-8e81-461d-8139-de74fc1428b8,https://image.torob.com/base/images/WG/Hk/WGHk-BejgcsITr-O.jpg,,,نامشخص,نامشخص,ست تاب و شلوارک,نخی,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,25,5,Short,4.166666666666667,مردانه_Short,4.838709677419355,-1.4338559041037209,-0.867583124116372
ست تیشرت شلوار مردانه قرمز مدل ASICS,مردانه,ست تیشرت شلوار,16740010-a592-475f-9dc5-384bcfb0db94,https://image.torob.com/base/images/CG/Vs/CGVsf70zN19H-kKT.jpg,,,قرمز,ASICS,ست تیشرت شلوار,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺰﻣﺮﻗ,36,7,Medium,4.5,مردانه_Medium,6.545454545454546,-0.9461670855446479,-0.7890398374383308
ست پیراهن شلوار اسپرت زنانه مردانه,زنانه مردانه,ست پیراهن شلوار,691d2284-50ed-441b-8436-f1e951926836,https://image.torob.com/base/images/X-/1C/X-1Cs1uf_qPTxyTw.jpg,,,نامشخص,نامشخص,ست پیراهن شلوار,,,نامشخص,,,,اسپرت,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ ﻪﻧﺎﻧﺯ,ﺺﺨﺸﻣﺎﻧ,34,6,Medium,4.857142857142857,زنانه مردانه_Medium,5.8048780487804885,0.4421385658203688,-1.2651513296535157
تیشرت چادر شب جیب دار پشت ساده,نامشخص,تیشرت,f5aa49fa-cd27-49f4-8458-33b1571063e1,https://image.torob.com/base/images/iT/U8/iTU8G9IJSVdgP0YZ.jpg,,,نامشخص,نامشخص,تیشرت چادر شب,,,نامشخص,,ساده,جیب دار,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,30,7,Short,3.75,نامشخص_Short,6.315789473684211,-2.561656186424883,0.8615861108607027
ست تیشرت شلوار کلاه دار Fila مدل chikom,مردانه,ست تیشرت شلوار کلاه دار,97a77b68-208c-4642-b077-0b7ec1f0a638,https://image.torob.com/base/images/Ft/Pk/FtPkwb94F2obsjDJ.jpg,,,نامشخص,Fila,ست تیشرت شلوار کلاه دار,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,39,8,Medium,4.333333333333333,مردانه_Medium,7.3125,-0.9884698774451612,-0.7418062869608876
تیشرت و شلوار,نامشخص,ست تیشرت و شلوار,9d2269eb-724d-45fa-a6a7-4b249435d88c,https://image.torob.com/base/images/YW/1v/YW1vD0JDndrOrwkt.jpg,,,نامشخص,نامشخص,ست تیشرت و شلوار,,,نامشخص,,,,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,13,3,Short,3.25,نامشخص_Short,3.0588235294117645,-2.969764258236485,1.5712107952360923
ست سویشرت و شلوارHondaمدل Aren کد6226s,نامشخص,ست سویشرت و شلوار,364a1c3f-7ba3-4a5f-9af0-85baae700417,https://image.torob.com/base/images/IN/-D/IN-DrdGBz5bkCV5c.jpg,,,نامشخص,Honda,ست سویشرت و شلوار,,,نامشخص,,,,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,38,6,Medium,5.428571428571429,نامشخص_Medium,5.9111111111111105,-0.4731845995571775,1.7321845060511014
ست تیشرت و شلوارک مردانه لانگ,مردانه,ست تیشرت و شلوارک,7cd2ead4-6ae3-4a5f-b270-f221a63ecfe5,https://image.torob.com/base/images/AA/yz/AAyzEb9fayDoWtza.webp,,,نامشخص,نامشخص,ست تیشرت و شلوارک,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,29,6,Short,4.142857142857143,مردانه_Short,5.638888888888888,-1.1314059327638726,-0.5489213337997906
پیژامه و لباس خواب مردانه فیروزه یو اس پولو | BATDN18T88E6P اورجینال,مردانه,پیژامه و لباس خواب,4e2f4925-bc47-4133-a5b0-8c055d777fdf,https://image.torob.com/base/images/LH/mO/LHmOBGqS15nCA4JF.jpg,,,فیروزه,یو اس پولو,پیژامه و لباس خواب,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﻩﺯﻭﺮﯿﻓ,68,12,Long,5.230769230769231,مردانه_Long,10.91358024691358,2.4350578352147014,0.6475329501000111
تیشرت و شلوار مردانه قواره دار در سه سایز - سفید / لارج,مردانه,تیشرت و شلوار,18e24f06-98a7-47fc-b78c-9de060e54848,https://image.torob.com/base/images/nx/QY/nxQYE6UsWz1sz2Zo.jpg,,,سفید,نامشخص,تیشرت و شلوار,,,سه سایز,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺪﯿﻔﺳ,55,13,Medium,3.9285714285714284,مردانه_Medium,11.159420289855072,-0.13016151872722803,-0.9339829261886284
ست تاپ و شلوارک مردانه,مردانه,ست تاپ و شلوارک,2e20b474-61f2-4e09-a348-1edc08abf459,https://image.torob.com/base/images/P6/Pv/P6PvfK4AGvLaXaKH.jpg,,,نامشخص,نامشخص,ست تاپ و شلوارک,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,22,5,Short,3.6666666666666665,مردانه_Short,4.714285714285715,-1.7044075527150455,-0.8206677007717093
ست تیشرت و شلوارک مردانه مادر Madar کد Taco-P,مردانه,ست تیشرت و شلوارک,6a7c5050-d389-49bc-8be3-28cdb67c6008,https://image.torob.com/base/images/Ul/Bm/UlBmasasf5h3CKdR.jpg,,,نامشخص,مادر Madar,ست تیشرت و شلوارک,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,45,9,Medium,4.5,مردانه_Medium,8.181818181818182,-0.6753913362918076,-0.6346087919039916
ست بلوز و شلوار مردانه ازمدیوم تا دو ایکس کیفیت عالی,مردانه,ست بلوز و شلوار,4c08209b-53d4-464a-a380-6a46057ef51f,https://image.torob.com/base/images/9P/Pt/9PPthxTySLguJrWb.jpg,,,نامشخص,نامشخص,ست بلوز و شلوار,,,ازمدیوم تا دو ایکس,,,کیفیت عالی,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,52,11,Medium,4.333333333333333,مردانه_Medium,9.75,0.26355052856977434,-0.700430072471359
ست تیشرت و شلوار مردانه آستین کوتاه ساده یقه گرد,مردانه,ست تیشرت و شلوار,3cf57caa-ec0a-4962-8750-f03b97eef8e0,https://image.torob.com/base/images/ss/Ep/ssEpmThR5liQFFLU.jpg,,,نامشخص,نامشخص,ست تیشرت و شلوار,,,نامشخص,آستین کوتاه,ساده,,,یقه گرد,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,48,10,Medium,4.363636363636363,مردانه_Medium,8.949152542372882,0.46835189623229795,-0.3955321669790236
ست مردانه، بیسکوئیتی، خنک، تابستانه، زیبا (پس کرایه),مردانه,ست,1c86a07d-8760-4527-b4a5-960f58c278ff,https://image.torob.com/base/images/Z_/pJ/Z_pJg_P3gov3RpDw.jpg,,,بیسکوئیتی,نامشخص,ست,,,نامشخص,,,زیبا,,,تابستانه,خنک,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯽﺘﯿﺋﻮﮑﺴﯿﺑ,52,8,Medium,5.777777777777778,مردانه_Medium,7.672131147540984,0.10917591490410102,-1.127344582313462
پیژامه و لباس خواب مردانه نارنجی پیرکاردین | 7.Q1.K9.K.3 اورجینال,مردانه,پیژامه و لباس خواب,8963cc97-880d-40cc-a5d2-8a6762cc3ab7,https://image.torob.com/base/images/tA/Dx/tADxxwy9bzR3RW8y.jpg,,,نارنجی,پیرکاردین,پیژامه و لباس خواب,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯽﺠﻧﺭﺎﻧ,65,10,Long,5.909090909090909,مردانه_Long,9.407894736842104,2.880225055028242,0.6661793289319067
ست بالا و پایین ورزشی خاکستری مردانه زنانه لباس جیووان جنتیله اورجینال Giovane Gentile,مردانه زنانه,ست بالا و پایین,b6144654-14b7-4391-b466-73f05b791aa9,https://image.torob.com/base/images/2o/FZ/2oFZnQpf56HtNJ3M.jpg,,,خاکستری,Giovane Gentile,ست بالا و پایین,,,نامشخص,,,,ورزشی,,,,,,,,,,,,,,,ﻪﻧﺎﻧﺯ ﻪﻧﺍﺩﺮﻣ,ﯼﺮﺘﺴﮐﺎﺧ,86,14,Long,5.733333333333333,مردانه زنانه_Long,12.772277227722773,1.6676227085461524,-0.15311617169451056
ست پیراهن شلوار کنفی سه دکمه,نامشخص,ست پیراهن شلوار,84956629-2812-4f9d-b091-bc21d2159923,https://image.torob.com/base/images/3c/oI/3coIOhohdU-iS27f.jpg,,,نامشخص,نامشخص,ست پیراهن شلوار,کنفی,,نامشخص,,,,,سه دکمه,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,28,6,Short,4.0,نامشخص_Short,5.6,-1.4918857177383429,2.0858211914097247
تیشرت و شلوار مردانه ENJ-Black مدل 3262,مردانه,تیشرت و شلوار,e2ef8886-a5f1-44b4-ab9f-0d74e2291008,https://image.torob.com/base/images/Ay/O1/AyO1EIwplzCPPW4v.jpg,,,نامشخص,ENJ-Black,تیشرت و شلوار,,,نامشخص,,,,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,39,7,Medium,4.875,مردانه_Medium,6.638297872340425,-0.8619475677368295,-1.1795068419126917
لباس شکار,نامشخص,لباس شکار,2aa4016e-b828-463c-b647-165d9aac4129,https://image.torob.com/base/images/_q/K9/_qK9YzHfHo9VBl93.jpg,,,نامشخص,نامشخص,لباس شکار,,,نامشخص,,,,,,,,,,,,,,,,,,,ﺺﺨﺸﻣﺎﻧ,ﺺﺨﺸﻣﺎﻧ,9,2,Short,3.0,نامشخص_Short,2.25,0.5916945774580951,2.436020770729616
ست مردانه تیشرت تکه دوزی خطی و شلوارک,مردانه,ست تیشرت و شلوارک,b6a0829a-2568-45ba-8765-7d595d1749e5,https://image.torob.com/base/images/lr/mM/lrmM5qqG6Qy-k_z5.jpg,,,نامشخص,نامشخص,ست تیشرت و شلوارک,,,نامشخص,,,تکه دوزی خطی,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺺﺨﺸﻣﺎﻧ,37,8,Medium,4.111111111111111,مردانه_Medium,7.239130434782609,-1.067581815177149,-0.5933148026285539
پیژامه و لباس خواب مردانه قهوه ای پیرکاردین | PCEP6059 اورجینال,مردانه,پیژامه و لباس خواب,768178ca-f9ea-47a9-ac57-59d912d527b9,https://image.torob.com/base/images/CT/UW/CTUWtEpKIGkip3H-.jpg,,,قهوه ای,پیرکاردین,پیژامه و لباس خواب,,,نامشخص,,,اورجینال,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﯼﺍ ﻩﻮﻬﻗ,63,11,Long,5.25,مردانه_Long,10.08,2.386756230423452,0.6721475738807635
تی شرت سفید مردانه ست سه تایی T8571 زیپ دار مشکی CLARET RED Dewberry,مردانه,تی شرت,59d12689-8279-46de-8720-74286a9486e7,https://image.torob.com/base/images/8i/GM/8iGMqlV7ZozG3AtO.jpg,,,سفید,Dewberry,تی شرت,,,نامشخص,,,ست سه تایی,,,,,,,,,,,,,,,,ﻪﻧﺍﺩﺮﻣ,ﺪﯿﻔﺳ,68,14,Long,4.533333333333333,مردانه_Long,12.289156626506024,0.39526459910019773,-1.085682962842911
